TEAM : Ecuador,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
10,3MF,Junior Hoilett,(1990-06-05)5 June 1990 (aged 32),50,14,Reading
11,4FW,Tajon Buchanan,(1999-02-08)8 February 1999 (aged 23),26,4,Club Brugge
12,4FW,Iké Ugbo,(1998-09-21)21 September 1998 (aged 24),8,0,Troyes
13,3MF,Atiba Hutchinson*(captain)*,(1983-02-08)8 February 1983 (aged 39),98,9,Beşiktaş
14,3MF,Mark-Anthony Kaye,(1994-12-02)2 December 1994 (aged 27),38,2,Toronto FC
15,3MF,Ismaël Koné,(2002-06-16)16 June 2002 (aged 20),6,1,CF Montréal
16,1GK,James Pantemis,(1997-02-21)21 February 1997 (aged 25),0,0,CF Montréal
17,4FW,Cyle Larin,(1995-04-17)17 April 1995 (aged 27),55,25,Club Brugge
18,1GK,Milan Borjan,(1987-10-23)23 October 1987 (aged 35),68,0,Red Star Belgrade
19,4FW,Alphonso Davies,(2000-11-02)2 November 2000 (aged 22),34,12,Bayern Munich
20,4FW,Jonathan David,(2000-01-14)14 January 2000 (aged 22),35,22,Lille
21,3MF,Jonathan Osorio,(1992-06-12)12 June 1992 (aged 30),57,7,Toronto FC
22,2DF,Richie Laryea,(1995-01-07)7 January 1995 (aged 27),34,1,Toronto FC
23,3MF,Liam Millar,(1999-09-27)27 September 1999 (aged 23),16,0,Basel
24,3MF,David Wotherspoon,(1990-01-16)16 January 1990 (aged 32),10,1,St Johnstone
25,2DF,Derek Cornelius,(1997-11-25)25 November 1997 (aged 24),14,0,Panetolikos
26,2DF,Joel Waterman,(1996-01-24)24 January 1996 (aged 26),2,0,CF Montréal
,,,,,,
TEAM : Croatia,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Dominik Livaković,(1995-01-09)9 January 1995 (aged 27),34,0,Dinamo Zagreb
2,2DF,Josip Stanišić,(2000-04-02)2 April 2000 (aged 22),7,0,Bayern Munich
3,2DF,Borna Barišić,(1992-11-10)10 November 1992 (aged 30),28,1,Rangers
4,4FW,Ivan Perišić,(1989-02-02)2 February 1989 (aged 33),116,32,Tottenham Hotspur
5,2DF,Martin Erlić,(1998-01-24)24 January 1998 (aged 24),4,0,Sassuolo
6,2DF,Dejan Lovren,(1989-07-05)5 July 1989 (aged 33),72,5,Zenit Saint Petersburg
7,3MF,Lovro Majer,(1998-01-17)17 January 1998 (aged 24),11,3,Rennes
8,3MF,Mateo Kovačić,(1994-05-06)6 May 1994 (aged 28),84,3,Chelsea
9,4FW,Andrej Kramarić,(1991-06-19)19 June 1991 (aged 31),74,20,1899 Hoffenheim
10,3MF,Luka Modrić*(captain)*,(1985-09-09)9 September 1985 (aged 37),155,23,Real Madrid
11,3MF,Marcelo Brozović,(1992-11-16)16 November 1992 (aged 30),77,7,Internazionale
12,1GK,Ivo Grbić,(1996-01-18)18 January 1996 (aged 26),2,0,Atlético Madrid
13,3MF,Nikola Vlašić,(1997-10-04)4 October 1997 (aged 25),42,7,Torino
14,4FW,Marko Livaja,(1993-08-26)26 August 1993 (aged 29),14,3,Hajduk Split
15,3MF,Mario Pašalić,(1995-02-09)9 February 1995 (aged 27),43,7,Atalanta
16,4FW,Bruno Petković,(1994-09-16)16 September 1994 (aged 28),23,6,Dinamo Zagreb
17,4FW,Ante Budimir,(1991-07-22)22 July 1991 (aged 31),15,1,Osasuna
18,4FW,Mislav Oršić,(1992-12-29)29 December 1992 (aged 29),21,1,Dinamo Zagreb
19,2DF,Borna Sosa,(1998-01-21)21 January 1998 (aged 24),8,1,VfB Stuttgart
20,2DF,Joško Gvardiol,(2002-01-23)23 January 2002 (aged 20),12,1,RB Leipzig
21,2DF,Domagoj Vida,(1989-04-29)29 April 1989 (aged 33),100,4,AEK Athens
22,2DF,Josip Juranović,(1995-08-16)16 August 1995 (aged 27),21,0,Celtic
23,1GK,Ivica Ivušić,(1995-02-01)1 February 1995 (aged 27),5,0,Osijek
24,2DF,Josip Šutalo,(2000-02-28)28 February 2000 (aged 22),3,0,Dinamo Zagreb
25,3MF,Luka Sučić,(2002-09-08)8 September 2002 (aged 20),4,0,Red Bull Salzburg
26,3MF,Kristijan Jakić,(1997-05-14)14 May 1997 (aged 25),4,0,Eintracht Frankfurt
,,,,,,
TEAM : Morocco,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Yassine Bounou,(1991-04-05)5 April 1991 (aged 31),46,0,Sevilla
2,2DF,Achraf Hakimi,(1998-11-04)4 November 1998 (aged 24),54,8,Paris Saint-Germain
3,2DF,Noussair Mazraoui,(1997-11-14)14 November 1997 (aged 25),15,2,Bayern Munich
4,3MF,Sofyan Amrabat,(1996-08-21)21 August 1996 (aged 26),39,0,Fiorentina
5,2DF,Nayef Aguerd,(1996-03-30)30 March 1996 (aged 26),22,1,West Ham United
6,2DF,Romain Saïss*(captain)*,(1990-03-26)26 March 1990 (aged 32),66,1,Beşiktaş
7,3MF,Hakim Ziyech,(1993-03-19)19 March 1993 (aged 29),43,18,Chelsea
8,3MF,Azzedine Ounahi,(2000-04-19)19 April 2000 (aged 22),10,2,Angers
9,4FW,Abderrazak Hamdallah,(1990-12-17)17 December 1990 (aged 31),18,6,Al-Ittihad
10,3MF,Anass Zaroury,(2000-11-07)7 November 2000 (aged 22),1,0,Burnley
11,4FW,Abdelhamid Sabiri,(1996-11-28)28 November 1996 (aged 25),2,1,Sampdoria
12,1GK,Munir Mohamedi,(1989-05-10)10 May 1989 (aged 33),43,0,Al-Wehda
13,3MF,Ilias Chair,(1997-10-30)30 October 1997 (aged 25),11,1,Queens Park Rangers
14,3MF,Zakaria Aboukhlal,(2000-02-18)18 February 2000 (aged 22),12,2,Toulouse
15,3MF,Selim Amallah,(1996-11-15)15 November 1996 (aged 26),24,4,Standard Liège
16,4FW,Abde Ezzalzouli,(2001-12-17)17 December 2001 (aged 20),2,0,Osasuna
17,3MF,Sofiane Boufal,(1993-09-17)17 September 1993 (aged 29),32,6,Angers
18,2DF,Jawad El Yamiq,(1992-02-29)29 February 1992 (aged 30),12,2,Valladolid
19,4FW,Youssef En-Nesyri,(1997-06-01)1 June 1997 (aged 25),50,15,Sevilla
20,2DF,Achraf Dari,(1999-05-06)6 May 1999 (aged 23),4,0,Brest
21,4FW,Walid Cheddira,(1998-01-22)22 January 1998 (aged 24),2,0,Bari
22,1GK,Ahmed Reda Tagnaouti,(1996-04-05)5 April 1996 (aged 26),3,0,Wydad AC
23,3MF,Bilal El Khannous,(2004-05-10)10 May 2004 (aged 18),0,0,Genk
24,2DF,Badr Benoun,(1993-09-30)30 September 1993 (aged 29),3,0,Qatar SC
25,2DF,Yahia Attiyat Allah,(1995-03-02)2 March 1995 (aged 27),2,0,Wydad AC
26,3MF,Yahya Jabrane,(1991-06-18)18 June 1991 (aged 31),5,0,Wydad AC
,,,,,,
TEAM : Brazil,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Alisson,(1992-10-02)2 October 1992 (aged 30),57,0,Liverpool
2,2DF,Danilo,(1991-07-15)15 July 1991 (aged 31),46,1,Juventus
3,2DF,Thiago Silva*(captain)*,(1984-09-22)22 September 1984 (aged 38),109,7,Chelsea
4,2DF,Marquinhos,(1994-05-14)14 May 1994 (aged 28),71,5,Paris Saint-Germain
5,3MF,Casemiro,(1992-02-23)23 February 1992 (aged 30),65,5,Manchester United
6,2DF,Alex Sandro,(1991-01-26)26 January 1991 (aged 31),37,2,Juventus
7,3MF,Lucas Paquetá,(1997-08-27)27 August 1997 (aged 25),35,7,West Ham United
8,3MF,Fred,(1993-03-05)5 March 1993 (aged 29),28,0,Manchester United
9,4FW,Richarlison,(1997-05-10)10 May 1997 (aged 25),38,17,Tottenham Hotspur
10,4FW,Neymar,(1992-02-05)5 February 1992 (aged 30),121,75,Paris Saint-Germain
11,4FW,Raphinha,(1996-12-14)14 December 1996 (aged 25),11,5,Barcelona
12,1GK,Weverton,(1987-12-13)13 December 1987 (aged 34),8,0,Palmeiras
13,2DF,Dani Alves,(1983-05-06)6 May 1983 (aged 39),124,8,UNAM
14,2DF,Éder Militão,(1998-01-18)18 January 1998 (aged 24),23,1,Real Madrid
15,3MF,Fabinho,(1993-10-23)23 October 1993 (aged 29),28,0,Liverpool
16,2DF,Alex Telles,(1992-12-15)15 December 1992 (aged 29),8,0,Sevilla
17,3MF,Bruno Guimarães,(1997-11-16)16 November 1997 (aged 25),8,1,Newcastle United
18,4FW,Gabriel Jesus,(1997-04-03)3 April 1997 (aged 25),56,19,Arsenal
19,4FW,Antony,(2000-02-24)24 February 2000 (aged 22),11,2,Manchester United
20,4FW,Vinícius Júnior,(2000-07-12)12 July 2000 (aged 22),16,1,Real Madrid
21,4FW,Rodrygo,(2001-01-09)9 January 2001 (aged 21),7,1,Real Madrid
22,3MF,Éverton Ribeiro,(1989-04-10)10 April 1989 (aged 33),21,3,Flamengo
23,1GK,Ederson,(1993-08-17)17 August 1993 (aged 29),18,0,Manchester City
24,2DF,Bremer,(1997-03-18)18 March 1997 (aged 25),1,0,Juventus
25,4FW,Pedro,(1997-06-20)20 June 1997 (aged 25),2,1,Flamengo
26,4FW,Gabriel Martinelli,(2001-06-18)18 June 2001 (aged 21),3,0,Arsenal
,,,,,,
TEAM : Cameroon,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Simon Ngapandouetnbu,(2003-04-12)12 April 2003 (aged 19),0,0,Marseille
2,2DF,Jerome Ngom Mbekeli,(1998-09-30)30 September 1998 (aged 24),2,0,Colombe Sportive
3,2DF,Nicolas Nkoulou,(1990-03-27)27 March 1990 (aged 32),79,2,Aris
4,2DF,Christopher Wooh,(2001-09-18)18 September 2001 (aged 21),4,0,Rennes
5,3MF,Gaël Ondoua,(1995-11-04)4 November 1995 (aged 27),4,0,Hannover 96
6,4FW,Moumi Ngamaleu,(1994-07-09)9 July 1994 (aged 28),42,4,Dynamo Moscow
7,3MF,Georges-Kévin Nkoudou,(1995-02-13)13 February 1995 (aged 27),3,0,Beşiktaş
8,3MF,André-Frank Zambo Anguissa,(1995-11-16)16 November 1995 (aged 27),44,5,Napoli
9,4FW,Jean-Pierre Nsame,(1993-05-01)1 May 1993 (aged 29),4,0,Young Boys
10,4FW,Vincent Aboubakar*(captain)*,(1992-01-22)22 January 1992 (aged 30),92,33,Al-Nassr
11,4FW,Christian Bassogog,(1995-10-18)18 October 1995 (aged 27),44,7,Shanghai Shenhua
12,4FW,Karl Toko Ekambi,(1992-09-14)14 September 1992 (aged 30),52,12,Lyon
13,4FW,Eric Maxim Choupo-Moting,(1989-03-23)23 March 1989 (aged 33),70,20,Bayern Munich
14,3MF,Samuel Gouet,(1997-12-14)14 December 1997 (aged 24),22,0,Mechelen
15,3MF,Pierre Kunde,(1995-07-26)26 July 1995 (aged 27),33,1,Olympiacos
16,1GK,Devis Epassy,(1993-02-02)2 February 1993 (aged 29),5,0,Abha
17,2DF,Olivier Mbaizo,(1997-08-15)15 August 1997 (aged 25),11,0,Philadelphia Union
18,3MF,Martin Hongla,(1998-03-16)16 March 1998 (aged 24),20,0,Hellas Verona
19,2DF,Collins Fai,(1992-08-13)13 August 1992 (aged 30),53,0,Al-Tai
20,4FW,Bryan Mbeumo,(1999-08-07)7 August 1999 (aged 23),4,0,Brentford
21,2DF,Jean-Charles Castelletto,(1995-01-26)26 January 1995 (aged 27),15,0,Nantes
22,3MF,Olivier Ntcham,(1996-02-09)9 February 1996 (aged 26),4,0,Swansea City
23,1GK,André Onana,(1996-04-02)2 April 1996 (aged 26),34,0,Internazionale
24,2DF,Enzo Ebosse,(1999-03-11)11 March 1999 (aged 23),3,0,Udinese
25,2DF,Nouhou Tolo,(1997-06-23)23 June 1997 (aged 25),19,0,Seattle Sounders FC
26,3MF,Souaibou Marou,(2000-12-03)3 December 2000 (aged 21),3,1,Coton Sport
,,,,,,
TEAM : Serbia,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Marko Dmitrović,(1992-01-24)24 January 1992 (aged 30),19,0,Sevilla
2,2DF,Strahinja Pavlović,(2001-05-24)24 May 2001 (aged 21),22,1,Red Bull Salzburg
3,2DF,Strahinja Eraković,(2001-01-22)22 January 2001 (aged 21),2,0,Red Star Belgrade
4,2DF,Nikola Milenković,(1997-10-12)12 October 1997 (aged 25),39,3,Fiorentina
5,2DF,Miloš Veljković,(1995-09-26)26 September 1995 (aged 27),21,0,Werder Bremen
6,3MF,Nemanja Maksimović,(1995-01-26)26 January 1995 (aged 27),40,0,Getafe
7,4FW,Nemanja Radonjić,(1996-02-15)15 February 1996 (aged 26),36,5,Torino
8,3MF,Nemanja Gudelj,(1991-11-16)16 November 1991 (aged 31),49,1,Sevilla
9,4FW,Aleksandar Mitrović,(1994-09-16)16 September 1994 (aged 28),76,50,Fulham
10,4FW,Dušan Tadić*(captain)*,(1988-11-20)20 November 1988 (aged 34),91,20,Ajax
11,4FW,Luka Jović,(1997-12-23)23 December 1997 (aged 24),29,10,Fiorentina
12,1GK,Predrag Rajković,(1995-10-31)31 October 1995 (aged 27),28,0,Mallorca
13,2DF,Stefan Mitrović,(1990-05-22)22 May 1990 (aged 32),35,0,Getafe
14,3MF,Andrija Živković,(1996-07-11)11 July 1996 (aged 26),29,1,PAOK
15,2DF,Srđan Babić,(1996-04-22)22 April 1996 (aged 26),2,0,Almería
16,3MF,Saša Lukić,(1996-08-13)13 August 1996 (aged 26),32,2,Torino
17,3MF,Filip Kostić,(1992-11-01)1 November 1992 (aged 30),50,3,Juventus
18,4FW,Dušan Vlahović,(2000-01-28)28 January 2000 (aged 22),17,9,Juventus
19,3MF,Uroš Račić,(1998-03-17)17 March 1998 (aged 24),9,0,Braga
20,3MF,Sergej Milinković-Savić,(1995-02-27)27 February 1995 (aged 27),36,6,Lazio
21,4FW,Filip Đuričić,(1992-01-30)30 January 1992 (aged 30),37,5,Sampdoria
22,3MF,Darko Lazović,(1990-09-15)15 September 1990 (aged 32),26,1,Hellas Verona
23,1GK,Vanja Milinković-Savić,(1997-02-20)20 February 1997 (aged 25),7,0,Torino
24,3MF,Ivan Ilić,(2001-03-17)17 March 2001 (aged 21),6,0,Hellas Verona
25,2DF,Filip Mladenović,(1991-08-15)15 August 1991 (aged 31),20,1,Legia Warsaw
26,3MF,Marko Grujić,(1996-04-13)13 April 1996 (aged 26),18,0,Porto
,,,,,,
TEAM : Switzerland,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Yann Sommer,(1988-12-17)17 December 1988 (aged 33),77,0,Borussia Mönchengladbach
2,2DF,Edimilson Fernandes,(1996-04-15)15 April 1996 (aged 26),22,2,Mainz 05
3,2DF,Silvan Widmer,(1993-03-05)5 March 1993 (aged 29),34,2,Mainz 05
4,2DF,Nico Elvedi,(1996-09-30)30 September 1996 (aged 26),41,1,Borussia Mönchengladbach
5,2DF,Manuel Akanji,(1995-07-19)19 July 1995 (aged 27),43,1,Manchester City
6,3MF,Denis Zakaria,(1996-11-20)20 November 1996 (aged 26),43,3,Chelsea
7,4FW,Breel Embolo,(1997-02-14)14 February 1997 (aged 25),59,11,Monaco
8,3MF,Remo Freuler,(1992-04-15)15 April 1992 (aged 30),49,5,Nottingham Forest
9,4FW,Haris Seferovic,(1992-02-22)22 February 1992 (aged 30),89,25,Galatasaray
10,3MF,Granit Xhaka*(captain)*,(1992-09-27)27 September 1992 (aged 30),107,12,Arsenal
11,2DF,Renato Steffen,(1991-11-03)3 November 1991 (aged 31),28,1,Lugano
12,1GK,Jonas Omlin,(1994-01-10)10 January 1994 (aged 28),4,0,Montpellier
13,2DF,Ricardo Rodriguez,(1992-08-25)25 August 1992 (aged 30),100,9,Torino
14,3MF,Michel Aebischer,(1997-01-06)6 January 1997 (aged 25),12,0,Bologna
15,3MF,Djibril Sow,(1997-02-06)6 February 1997 (aged 25),32,0,Eintracht Frankfurt
16,3MF,Christian Fassnacht,(1993-11-11)11 November 1993 (aged 29),16,4,Young Boys
17,4FW,Ruben Vargas,(1998-08-05)5 August 1998 (aged 24),27,4,FC Augsburg
18,2DF,Eray Cömert,(1998-02-04)4 February 1998 (aged 24),10,0,Valencia
19,4FW,Noah Okafor,(2000-05-24)24 May 2000 (aged 22),9,2,Red Bull Salzburg
20,3MF,Fabian Frei,(1989-01-08)8 January 1989 (aged 33),22,3,Basel
21,1GK,Gregor Kobel,(1997-12-06)6 December 1997 (aged 24),3,0,Borussia Dortmund
22,2DF,Fabian Schär,(1991-12-20)20 December 1991 (aged 30),73,8,Newcastle United
23,3MF,Xherdan Shaqiri,(1991-10-10)10 October 1991 (aged 31),109,26,Chicago Fire FC
24,1GK,Philipp Köhn,(1998-04-02)2 April 1998 (aged 24),0,0,Red Bull Salzburg
25,3MF,Fabian Rieder,(2002-02-16)16 February 2002 (aged 20),0,0,Young Boys
26,3MF,Ardon Jashari,(2002-07-30)30 July 2002 (aged 20),1,0,Luzern
,,,,,,
TEAM : Ghana,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Lawrence Ati-Zigi,(1996-11-29)29 November 1996 (aged 25),11,0,St. Gallen
2,2DF,Tariq Lamptey,(2000-09-30)30 September 2000 (aged 22),2,0,Brighton & Hove Albion
3,2DF,Denis Odoi,(1988-05-27)27 May 1988 (aged 34),4,0,Club Brugge
4,2DF,Mohammed Salisu,(1999-04-17)17 April 1999 (aged 23),3,1,Southampton
5,3MF,Thomas Partey,(1993-06-13)13 June 1993 (aged 29),40,13,Arsenal
6,3MF,Elisha Owusu,(1997-11-07)7 November 1997 (aged 25),3,0,Gent
7,3MF,Abdul Fatawu Issahaku,(2004-03-08)8 March 2004 (aged 18),13,1,Sporting CP
8,3MF,Daniel-Kofi Kyereh,(1996-03-08)8 March 1996 (aged 26),15,0,SC Freiburg
9,4FW,Jordan Ayew,(1991-09-11)11 September 1991 (aged 31),84,19,Crystal Palace
10,4FW,André Ayew*(captain)*,(1989-12-17)17 December 1989 (aged 32),110,23,Al-Sadd
11,3MF,Osman Bukari,(1998-12-13)13 December 1998 (aged 23),7,1,Red Star Belgrade
12,1GK,Ibrahim Danlad,(2002-12-02)2 December 2002 (aged 19),4,0,Asante Kotoko
13,3MF,Daniel Afriyie,(2001-06-26)26 June 2001 (aged 21),7,3,Hearts of Oak
14,2DF,Gideon Mensah,(1998-07-18)18 July 1998 (aged 24),12,0,Auxerre
15,2DF,Joseph Aidoo,(1995-09-29)29 September 1995 (aged 27),11,0,Celta Vigo
16,1GK,Abdul Manaf Nurudeen,(1999-02-08)8 February 1999 (aged 23),2,0,Eupen
17,2DF,Baba Rahman,(1994-07-02)2 July 1994 (aged 28),48,1,Reading
18,2DF,Daniel Amartey,(1994-12-21)21 December 1994 (aged 27),46,0,Leicester City
19,4FW,Iñaki Williams,(1994-06-15)15 June 1994 (aged 28),3,0,Athletic Bilbao
20,3MF,Mohammed Kudus,(2000-08-02)2 August 2000 (aged 22),18,5,Ajax
21,3MF,Salis Abdul Samed,(2000-03-26)26 March 2000 (aged 22),1,0,Lens
22,3MF,Kamaldeen Sulemana,(2002-02-15)15 February 2002 (aged 20),13,0,Rennes
23,2DF,Alexander Djiku,(1994-08-09)9 August 1994 (aged 28),18,1,Strasbourg
24,3MF,Kamal Sowah,(2000-01-09)9 January 2000 (aged 22),1,0,Club Brugge
25,4FW,Antoine Semenyo,(2000-01-07)7 January 2000 (aged 22),4,1,Bristol City
26,2DF,Alidu Seidu,(2000-06-04)4 June 2000 (aged 22),4,0,Clermont
,,,,,,
TEAM : Portugal,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Rui Patrício,(1988-02-15)15 February 1988 (aged 34),105,0,Roma
2,2DF,Diogo Dalot,(1999-03-18)18 March 1999 (aged 23),7,2,Manchester United
3,2DF,Pepe,(1983-02-26)26 February 1983 (aged 39),129,7,Porto
4,2DF,Rúben Dias,(1997-05-14)14 May 1997 (aged 25),40,2,Manchester City
5,2DF,Raphaël Guerreiro,(1993-12-22)22 December 1993 (aged 28),57,3,Borussia Dortmund
6,3MF,João Palhinha,(1995-07-09)9 July 1995 (aged 27),15,2,Fulham
7,4FW,Cristiano Ronaldo*(captain)*,(1985-02-05)5 February 1985 (aged 37),191,117,Manchester United
8,3MF,Bruno Fernandes,(1994-09-08)8 September 1994 (aged 28),49,11,Manchester United
9,4FW,André Silva,(1995-11-06)6 November 1995 (aged 27),52,19,RB Leipzig
10,4FW,Bernardo Silva,(1994-08-10)10 August 1994 (aged 28),73,8,Manchester City
11,4FW,João Félix,(1999-11-10)10 November 1999 (aged 23),24,3,Atlético Madrid
12,1GK,José Sá,(1993-01-17)17 January 1993 (aged 29),0,0,Wolverhampton Wanderers
13,2DF,Danilo Pereira,(1991-09-09)9 September 1991 (aged 31),63,2,Paris Saint-Germain
14,3MF,William Carvalho,(1992-04-07)7 April 1992 (aged 30),76,5,Real Betis
15,4FW,Rafael Leão,(1999-06-10)10 June 1999 (aged 23),11,0,Milan
16,3MF,Vitinha,(2000-02-13)13 February 2000 (aged 22),5,0,Paris Saint-Germain
17,3MF,João Mário,(1993-01-19)19 January 1993 (aged 29),53,3,Benfica
18,3MF,Rúben Neves,(1997-03-13)13 March 1997 (aged 25),32,0,Wolverhampton Wanderers
19,2DF,Nuno Mendes,(2002-06-19)19 June 2002 (aged 20),17,0,Paris Saint-Germain
20,2DF,João Cancelo,(1994-05-27)27 May 1994 (aged 28),37,7,Manchester City
21,4FW,Ricardo Horta,(1994-09-15)15 September 1994 (aged 28),6,1,Braga
22,1GK,Diogo Costa,(1999-09-19)19 September 1999 (aged 23),7,0,Porto
23,3MF,Matheus Nunes,(1998-08-27)27 August 1998 (aged 24),9,1,Wolverhampton Wanderers
24,2DF,António Silva,(2003-10-30)30 October 2003 (aged 19),1,0,Benfica
25,3MF,Otávio,(1995-02-09)9 February 1995 (aged 27),8,2,Porto
26,4FW,Gonçalo Ramos,(2001-06-20)20 June 2001 (aged 21),1,1,Benfica
,,,,,,
TEAM : South Korea,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Kim Seung-gyu,(1990-09-30)30 September 1990 (aged 32),67,0,Al-Shabab
2,2DF,Yoon Jong-gyu,(1998-03-20)20 March 1998 (aged 24),4,0,FC Seoul
3,2DF,Kim Jin-su,(1992-06-13)13 June 1992 (aged 30),61,2,Jeonbuk Hyundai Motors
4,2DF,Kim Min-jae,(1996-11-15)15 November 1996 (aged 26),44,3,Napoli
5,3MF,Jung Woo-young,(1989-12-14)14 December 1989 (aged 32),66,3,Al-Sadd
6,3MF,Hwang In-beom,(1996-09-20)20 September 1996 (aged 26),37,4,Olympiacos
7,3MF,Son Heung-min*(captain)*,(1992-07-08)8 July 1992 (aged 30),104,35,Tottenham Hotspur
8,3MF,Paik Seung-ho,(1997-03-17)17 March 1997 (aged 25),14,2,Jeonbuk Hyundai Motors
9,4FW,Cho Gue-sung,(1998-01-25)25 January 1998 (aged 24),16,4,Jeonbuk Hyundai Motors
10,3MF,Lee Jae-sung,(1992-08-10)10 August 1992 (aged 30),64,9,Mainz 05
11,3MF,Hwang Hee-chan,(1996-01-26)26 January 1996 (aged 26),49,9,Wolverhampton Wanderers
12,1GK,Song Bum-keun,(1997-10-15)15 October 1997 (aged 25),1,0,Jeonbuk Hyundai Motors
13,3MF,Son Jun-ho,(1992-05-12)12 May 1992 (aged 30),15,0,Shandong Taishan
14,2DF,Hong Chul,(1990-09-17)17 September 1990 (aged 32),46,1,Daegu FC
15,2DF,Kim Moon-hwan,(1995-08-01)1 August 1995 (aged 27),22,0,Jeonbuk Hyundai Motors
16,4FW,Hwang Ui-jo,(1992-08-28)28 August 1992 (aged 30),49,16,Olympiacos
17,3MF,Na Sang-ho,(1996-08-12)12 August 1996 (aged 26),24,2,FC Seoul
18,3MF,Lee Kang-in,(2001-02-19)19 February 2001 (aged 21),6,0,Mallorca
19,2DF,Kim Young-gwon,(1990-02-27)27 February 1990 (aged 32),96,6,Ulsan Hyundai
20,2DF,Kwon Kyung-won,(1992-01-31)31 January 1992 (aged 30),28,2,Gamba Osaka
21,1GK,Jo Hyeon-woo,(1991-09-25)25 September 1991 (aged 31),22,0,Ulsan Hyundai
22,3MF,Kwon Chang-hoon,(1994-06-30)30 June 1994 (aged 28),42,12,Gimcheon Sangmu
23,2DF,Kim Tae-hwan,(1989-07-24)24 July 1989 (aged 33),19,0,Ulsan Hyundai
24,2DF,Cho Yu-min,(1996-11-17)17 November 1996 (aged 26),4,0,Daejeon Hana Citizen
25,3MF,Jeong Woo-yeong,(1999-09-20)20 September 1999 (aged 23),9,2,SC Freiburg
26,3MF,Song Min-kyu,(1999-09-12)12 September 1999 (aged 23),13,1,Jeonbuk Hyundai Motors
,,,,,,
TEAM : Uruguay,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Fernando Muslera,(1986-06-16)16 June 1986 (aged 36),133,0,Galatasaray
2,2DF,José Giménez,(1995-01-20)20 January 1995 (aged 27),78,8,Atlético Madrid
3,2DF,Diego Godín*(captain)*,(1986-02-16)16 February 1986 (aged 36),159,8,Vélez Sarsfield
4,2DF,Ronald Araújo,(1999-03-07)7 March 1999 (aged 23),12,0,Barcelona
5,3MF,Matías Vecino,(1991-08-24)24 August 1991 (aged 31),62,4,Lazio
6,3MF,Rodrigo Bentancur,(1997-06-25)25 June 1997 (aged 25),51,1,Tottenham Hotspur
7,3MF,Nicolás de la Cruz,(1997-06-01)1 June 1997 (aged 25),17,2,River Plate
8,4FW,Facundo Pellistri,(2001-12-20)20 December 2001 (aged 20),7,0,Manchester United
9,4FW,Luis Suárez,(1987-01-24)24 January 1987 (aged 35),134,68,Nacional
10,3MF,Giorgian de Arrascaeta,(1994-06-01)1 June 1994 (aged 28),40,8,Flamengo
11,4FW,Darwin Núñez,(1999-06-24)24 June 1999 (aged 23),13,3,Liverpool
12,1GK,Sebastián Sosa,(1986-08-19)19 August 1986 (aged 36),1,0,Independiente
13,2DF,Guillermo Varela,(1993-03-24)24 March 1993 (aged 29),9,0,Flamengo
14,3MF,Lucas Torreira,(1996-02-11)11 February 1996 (aged 26),40,0,Galatasaray
15,3MF,Federico Valverde,(1998-07-22)22 July 1998 (aged 24),44,4,Real Madrid
16,2DF,Mathías Olivera,(1997-10-31)31 October 1997 (aged 25),8,0,Napoli
17,2DF,Matías Viña,(1997-11-09)9 November 1997 (aged 25),26,0,Roma
18,4FW,Maxi Gómez,(1996-08-14)14 August 1996 (aged 26),27,4,Trabzonspor
19,2DF,Sebastián Coates,(1990-10-07)7 October 1990 (aged 32),47,1,Sporting CP
20,4FW,Facundo Torres,(2000-04-13)13 April 2000 (aged 22),10,0,Orlando City SC
21,4FW,Edinson Cavani,(1987-02-14)14 February 1987 (aged 35),133,58,Valencia
22,2DF,Martín Cáceres,(1987-04-07)7 April 1987 (aged 35),115,4,LA Galaxy
23,1GK,Sergio Rochet,(1993-03-23)23 March 1993 (aged 29),8,0,Nacional
24,3MF,Agustín Canobbio,(1998-10-01)1 October 1998 (aged 24),3,0,Athletico Paranaense
25,3MF,Manuel Ugarte,(2001-04-11)11 April 2001 (aged 21),6,0,Sporting CP
26,2DF,José Luis Rodríguez,(1997-03-14)14 March 1997 (aged 25),0,0,Nacional
